Var1;Var2;value;year;region;type
Food;lvst;19036400.2282908;1998;EU;mass
OtherUses;lvst;4908391.78625067;1998;EU;mass
Food;crop;15139677.9845441;1998;EU;price
OtherUses;crop;6172430.1921824;1998;EU;price
Food;lvst;13614292.3957041;1998;EU;price
OtherUses;lvst;4062206.31875869;1998;EU;price
Food;crop;7186828.29262265;1998;US;mass
OtherUses;crop;2881311.19444793;1998;US;mass
Food;lvst;9954651.30062559;1998;US;mass
OtherUses;lvst;730726.6652873;1998;US;mass
Food;crop;7396617.11959751;1998;US;price
OtherUses;crop;3413429.32734837;1998;US;price
Food;lvst;10298065.0684732;1998;US;price
OtherUses;lvst;439640.789764361;1998;US;price
Food;crop;3256148.08830039;1998;CN;mass
OtherUses;crop;1032463.97884943;1998;CN;mass
Food;lvst;4156929.86515449;1998;CN;mass
OtherUses;lvst;2328433.51426388;1998;CN;mass
Food;crop;3815022.38552923;1998;CN;price
OtherUses;crop;1557123.78310921;1998;CN;price
Food;lvst;2914523.91171512;1998;CN;price
OtherUses;lvst;1644303.91338747;1998;CN;price
Food;crop;12762938.6322872;1999;EU;mass
OtherUses;crop;3951292.33454308;1999;EU;mass
Food;lvst;19781967.1004375;1999;EU;mass
OtherUses;lvst;4147856.61468422;1999;EU;mass
Food;crop;13974465.0391718;1999;EU;price
OtherUses;crop;5339530.82705079;1999;EU;price
Food;lvst;14512027.8576943;1999;EU;price
OtherUses;lvst;3015407.73614667;1999;EU;price
Food;crop;7951311.23155986;1999;US;mass
OtherUses;crop;2422772.77421669;1999;US;mass
Food;lvst;9488466.43342837;1999;US;mass
OtherUses;lvst;684942.645929376;1999;US;mass
Food;crop;8570602.76154729;1999;US;price
OtherUses;crop;2934105.66528365;1999;US;price
Food;lvst;9969842.3493506;1999;US;price
OtherUses;lvst;355845.397174734;1999;US;price
Food;crop;3097794.52903379;1999;CN;mass
OtherUses;crop;1098415.16635985;1999;CN;mass
Food;lvst;3890600.31955345;1999;CN;mass
OtherUses;lvst;2647330.6999429;1999;CN;mass
Food;crop;3819405.70174577;1999;CN;price
OtherUses;crop;1742541.31435285;1999;CN;price
Food;lvst;2309569.88370865;1999;CN;price
OtherUses;lvst;1736035.15869036;1999;CN;price
Food;crop;14108062.2209265;2000;EU;mass
OtherUses;crop;4215332.20382363;2000;EU;mass
Food;lvst;20952834.2377744;2000;EU;mass
OtherUses;lvst;4492856.23169261;2000;EU;mass
Food;crop;15186046.5730169;2000;EU;price
OtherUses;crop;5981110.57641166;2000;EU;price
Food;lvst;16996453.2158667;2000;EU;price
OtherUses;lvst;4121989.16342288;2000;EU;price
Food;crop;7632018.21257777;2000;US;mass
OtherUses;crop;2492607.45291279;2000;US;mass
Food;lvst;10007968.216572;2000;US;mass
OtherUses;lvst;573799.651000304;2000;US;mass
Food;crop;7814101.24688038;2000;US;price
OtherUses;crop;2929109.59493987;2000;US;price
Food;lvst;10684498.7891235;2000;US;price
OtherUses;lvst;277959.770928321;2000;US;price
Food;crop;3729248.68252724;2000;CN;mass
OtherUses;crop;1664502.60805981;2000;CN;mass
Food;lvst;6202525.05772082;2000;CN;mass
OtherUses;lvst;4048146.29303418;2000;CN;mass
Food;crop;4343063.13622579;2000;CN;price
OtherUses;crop;2298293.77259;2000;CN;price
Food;lvst;4051184.89623493;2000;CN;price
OtherUses;lvst;3004255.75238506;2000;CN;price
Food;crop;19609545.2223835;2001;EU;mass
OtherUses;crop;4717610.68400501;2001;EU;mass
Food;lvst;19939055.1150187;2001;EU;mass
OtherUses;lvst;3570181.96315781;2001;EU;mass
Food;crop;20544340.2888421;2001;EU;price
OtherUses;crop;6034678.69924439;2001;EU;price
Food;lvst;16649872.7294213;2001;EU;price
OtherUses;lvst;3431976.83484665;2001;EU;price
Food;crop;8966580.87505108;2001;US;mass
OtherUses;crop;2479186.14450567;2001;US;mass
Food;lvst;10720535.1289493;2001;US;mass
OtherUses;lvst;532174.124686511;2001;US;mass
Food;crop;9163836.62851126;2001;US;price
OtherUses;crop;2841183.34353712;2001;US;price
Food;lvst;11548839.070499;2001;US;price
OtherUses;lvst;224068.633760442;2001;US;price
Food;crop;3842230.40804804;2001;CN;mass
OtherUses;crop;1806213.22367897;2001;CN;mass
Food;lvst;6229495.12544501;2001;CN;mass
OtherUses;lvst;4764212.40045641;2001;CN;mass
Food;crop;4254851.60534813;2001;CN;price
OtherUses;crop;2183092.50571181;2001;CN;price
Food;lvst;4556060.68453492;2001;CN;price
OtherUses;lvst;4195057.36903466;2001;CN;price
Food;crop;15129078.3177115;2002;EU;mass
OtherUses;crop;4312257.32691447;2002;EU;mass
Food;lvst;26891290.8108954;2002;EU;mass
OtherUses;lvst;3374524.30904576;2002;EU;mass
Food;crop;16326930.7079798;2002;EU;price
OtherUses;crop;5660444.03207643;2002;EU;price
Food;lvst;22296106.6574467;2002;EU;price
OtherUses;lvst;2716110.73531622;2002;EU;price
Food;crop;8639312.96829301;2002;US;mass
OtherUses;crop;2487695.89773438;2002;US;mass
Food;lvst;11279362.5620468;2002;US;mass
OtherUses;lvst;449015.773932222;2002;US;mass
Food;crop;8936614.84459214;2002;US;price
OtherUses;crop;2762416.63621437;2002;US;price
Food;lvst;12269783.0831745;2002;US;price
OtherUses;lvst;241422.856797663;2002;US;price
Food;crop;4507894.05707226;2002;CN;mass
OtherUses;crop;2234545.10857678;2002;CN;mass
Food;lvst;5329447.42766301;2002;CN;mass
OtherUses;lvst;4331485.56456609;2002;CN;mass
Food;crop;5138238.89390774;2002;CN;price
OtherUses;crop;2984674.98736778;2002;CN;price
Food;lvst;3691222.66995133;2002;CN;price
OtherUses;lvst;3607932.62934162;2002;CN;price
Food;crop;13590926.3822398;2003;EU;mass
OtherUses;crop;4312557.07675275;2003;EU;mass
Food;lvst;20128945.1642204;2003;EU;mass
OtherUses;lvst;2463220.44852046;2003;EU;mass
Food;crop;14761618.1650646;2003;EU;price
OtherUses;crop;5461729.32761474;2003;EU;price
Food;lvst;15939626.4816987;2003;EU;price
OtherUses;lvst;1977680.86813894;2003;EU;price
Food;crop;7104932.83215992;2003;US;mass
OtherUses;crop;2271176.87160989;2003;US;mass
Food;lvst;9339712.00801543;2003;US;mass
OtherUses;lvst;354318.320837209;2003;US;mass
Food;crop;7340436.86194475;2003;US;price
OtherUses;crop;2555366.05357971;2003;US;price
Food;lvst;10067417.5121861;2003;US;price
OtherUses;lvst;172975.488362842;2003;US;price
Food;crop;3639794.93499452;2003;CN;mass
OtherUses;crop;3423023.62827481;2003;CN;mass
Food;lvst;7493897.77073726;2003;CN;mass
OtherUses;lvst;4610708.22336456;2003;CN;mass
Food;crop;4463895.44900837;2003;CN;price
OtherUses;crop;5195268.22753377;2003;CN;price
Food;lvst;5269242.77064351;2003;CN;price
OtherUses;lvst;3590373.30364593;2003;CN;price
Food;crop;16805318.1737351;2004;EU;mass
OtherUses;crop;4690942.59531968;2004;EU;mass
Food;lvst;20523755.206645;2004;EU;mass
OtherUses;lvst;2625869.88910947;2004;EU;mass
Food;crop;17849363.533457;2004;EU;price
OtherUses;crop;5891353.49112376;2004;EU;price
Food;lvst;16859579.8379333;2004;EU;price
OtherUses;lvst;1987296.66053122;2004;EU;price
Food;crop;8429654.47797163;2004;US;mass
OtherUses;crop;2101513.54242876;2004;US;mass
Food;lvst;9760732.28274856;2004;US;mass
OtherUses;lvst;289097.717785657;2004;US;mass
Food;crop;9160444.49979126;2004;US;price
OtherUses;crop;2477162.91438798;2004;US;price
