Var1;Var2;value;year;region;type
OtherUses;lvst;5314315.88428794;2000;CN;price
Food;crop;55178188.9463192;2001;EU;mass
OtherUses;crop;9211106.50131719;2001;EU;mass
Food;lvst;82674570.1250195;2001;EU;mass
OtherUses;lvst;10789700.9153959;2001;EU;mass
Food;crop;57751790.7481082;2001;EU;price
OtherUses;crop;11090181.505206;2001;EU;price
Food;lvst;79086254.0058372;2001;EU;price
OtherUses;lvst;8986662.05920411;2001;EU;price
Food;crop;30552992.3917816;2001;US;mass
OtherUses;crop;7594649.61383643;2001;US;mass
Food;lvst;67163665.6987986;2001;US;mass
OtherUses;lvst;5637601.22111301;2001;US;mass
Food;crop;32611023.2901485;2001;US;price
OtherUses;crop;9376685.66534884;2001;US;price
Food;lvst;69325739.9887253;2001;US;price
OtherUses;lvst;2161251.19896418;2001;US;price
Food;crop;101755332.702532;2001;CN;mass
OtherUses;crop;12999193.5630126;2001;CN;mass
Food;lvst;50743925.5795017;2001;CN;mass
OtherUses;lvst;8664083.81756714;2001;CN;mass
Food;crop;103770449.361242;2001;CN;price
OtherUses;crop;15834782.5960537;2001;CN;price
Food;lvst;46296216.5951186;2001;CN;price
OtherUses;lvst;7112444.37019729;2001;CN;price
Food;crop;49730686.6035799;2002;EU;mass
OtherUses;crop;8897690.83948576;2002;EU;mass
Food;lvst;88358112.8742713;2002;EU;mass
OtherUses;lvst;10057868.70115;2002;EU;mass
Food;crop;52483249.7627065;2002;EU;price
OtherUses;crop;10857191.0401834;2002;EU;price
Food;lvst;83773566.1119301;2002;EU;price
OtherUses;lvst;7514663.52299958;2002;EU;price
Food;crop;31975721.1830747;2002;US;mass
OtherUses;crop;8422680.43280962;2002;US;mass
Food;lvst;70151563.3682677;2002;US;mass
OtherUses;lvst;4986183.36952906;2002;US;mass
Food;crop;34613920.6909867;2002;US;price
OtherUses;crop;9803499.40999361;2002;US;price
Food;lvst;72644713.3238264;2002;US;price
OtherUses;lvst;2423326.86600264;2002;US;price
Food;crop;102535075.590232;2002;CN;mass
OtherUses;crop;14465402.7439252;2002;CN;mass
Food;lvst;49783776.9373659;2002;CN;mass
OtherUses;lvst;8289450.4720547;2002;CN;mass
Food;crop;105208702.992427;2002;CN;price
OtherUses;crop;18000104.9663862;2002;CN;price
Food;lvst;43474640.1614173;2002;CN;price
OtherUses;lvst;7330107.88688699;2002;CN;price
Food;crop;49067079.1847163;2003;EU;mass
OtherUses;crop;9174689.86633751;2003;EU;mass
Food;lvst;85382704.7332767;2003;EU;mass
OtherUses;lvst;9143895.46881774;2003;EU;mass
Food;crop;51921132.0622826;2003;EU;price
OtherUses;crop;11069355.2662792;2003;EU;price
Food;lvst;81720940.5372904;2003;EU;price
OtherUses;lvst;6335789.55555112;2003;EU;price
Food;crop;28890311.9689425;2003;US;mass
OtherUses;crop;8100097.38356732;2003;US;mass
Food;lvst;67948630.8125794;2003;US;mass
OtherUses;lvst;5391048.39827199;2003;US;mass
Food;crop;32662006.9737541;2003;US;price
OtherUses;crop;9429262.58521264;2003;US;price
Food;lvst;69410417.695139;2003;US;price
OtherUses;lvst;2382158.1966371;2003;US;price
Food;crop;100665022.892118;2003;CN;mass
OtherUses;crop;16311350.0887985;2003;CN;mass
Food;lvst;51406086.816281;2003;CN;mass
OtherUses;lvst;8498383.34979611;2003;CN;mass
Food;crop;103682377.286773;2003;CN;price
OtherUses;crop;21064309.2068466;2003;CN;price
Food;lvst;43560269.2872582;2003;CN;price
OtherUses;lvst;8085338.38162835;2003;CN;price
Food;crop;48979190.7193748;2004;EU;mass
OtherUses;crop;9311304.98567661;2004;EU;mass
Food;lvst;78779585.8113145;2004;EU;mass
OtherUses;lvst;9100719.03395506;2004;EU;mass
Food;crop;51416756.3918006;2004;EU;price
OtherUses;crop;11237311.8419335;2004;EU;price
Food;lvst;76089136.9790152;2004;EU;price
OtherUses;lvst;6084222.80189014;2004;EU;price
Food;crop;29064939.129202;2004;US;mass
OtherUses;crop;8003073.74497984;2004;US;mass
Food;lvst;69296595.5557679;2004;US;mass
OtherUses;lvst;4815262.50116362;2004;US;mass
Food;crop;31930141.1954897;2004;US;price
OtherUses;crop;9690387.30989583;2004;US;price
Food;lvst;70862162.2052223;2004;US;price
OtherUses;lvst;2291578.42410748;2004;US;price
Food;crop;99562239.3214564;2004;CN;mass
OtherUses;crop;18590457.5680888;2004;CN;mass
Food;lvst;48932856.7534553;2004;CN;mass
OtherUses;lvst;8492508.48143371;2004;CN;mass
Food;crop;101921455.821631;2004;CN;price
OtherUses;crop;24029023.8504988;2004;CN;price
Food;lvst;41386497.7360542;2004;CN;price
OtherUses;lvst;8405005.2038601;2004;CN;price
Food;crop;46975905.3725582;2005;EU;mass
OtherUses;crop;8856798.45980682;2005;EU;mass
Food;lvst;81072489.4575695;2005;EU;mass
OtherUses;lvst;8968839.8219049;2005;EU;mass
Food;crop;49689040.7775762;2005;EU;price
OtherUses;crop;10920482.7703351;2005;EU;price
Food;lvst;79128923.913728;2005;EU;price
OtherUses;lvst;5178375.62924905;2005;EU;price
Food;crop;30484450.7915755;2005;US;mass
OtherUses;crop;9332756.96923189;2005;US;mass
Food;lvst;52667598.9412269;2005;US;mass
OtherUses;lvst;4358734.73350594;2005;US;mass
Food;crop;33488250.4660713;2005;US;price
OtherUses;crop;10751509.786781;2005;US;price
Food;lvst;56447813.1872718;2005;US;price
OtherUses;lvst;2017561.45122833;2005;US;price
Food;crop;99232954.0392672;2005;CN;mass
OtherUses;crop;19278287.5497515;2005;CN;mass
Food;lvst;49191363.5971365;2005;CN;mass
OtherUses;lvst;8502644.69332784;2005;CN;mass
Food;crop;101625630.434686;2005;CN;price
OtherUses;crop;25036109.8339925;2005;CN;price
Food;lvst;40411313.6256482;2005;CN;price
OtherUses;lvst;9041641.45270624;2005;CN;price
Food;crop;47993935.4435829;2006;EU;mass
OtherUses;crop;10467683.0043832;2006;EU;mass
Food;lvst;81159255.2912507;2006;EU;mass
OtherUses;lvst;8871496.38642949;2006;EU;mass
Food;crop;50981484.327436;2006;EU;price
OtherUses;crop;13255635.254846;2006;EU;price
Food;lvst;79287185.6794028;2006;EU;price
OtherUses;lvst;4888326.53883087;2006;EU;price
Food;crop;29692249.8023207;2006;US;mass
OtherUses;crop;10124796.4638614;2006;US;mass
Food;lvst;65244288.5581408;2006;US;mass
OtherUses;lvst;5648295.96295997;2006;US;mass
Food;crop;32874457.0772221;2006;US;price
OtherUses;crop;11268575.4938521;2006;US;price
Food;lvst;66542354.7443405;2006;US;price
OtherUses;lvst;2365480.74330766;2006;US;price
Food;crop;98866546.5273664;2006;CN;mass
OtherUses;crop;20396257.2530621;2006;CN;mass
Food;lvst;49757769.0181047;2006;CN;mass
OtherUses;lvst;9887891.47940186;2006;CN;mass
Food;crop;101783389.868697;2006;CN;price
OtherUses;crop;26812672.2616009;2006;CN;price
Food;lvst;38353775.2898609;2006;CN;price
OtherUses;lvst;11516936.1748499;2006;CN;price
Food;crop;48698393.8820769;2007;EU;mass
OtherUses;crop;10943723.4719897;2007;EU;mass
Food;lvst;84348875.5736415;2007;EU;mass
OtherUses;lvst;9210629.75450818;2007;EU;mass
Food;crop;51789091.7030193;2007;EU;price
OtherUses;crop;13770545.3900515;2007;EU;price
Food;lvst;82512868.1528111;2007;EU;price
OtherUses;lvst;5107844.14085638;2007;EU;price
Food;crop;30057761.7735909;2007;US;mass
OtherUses;crop;12101799.3479906;2007;US;mass
Food;lvst;63797680.7776345;2007;US;mass
OtherUses;lvst;5469245.79849634;2007;US;mass
Food;crop;33635251.2274631;2007;US;price
OtherUses;crop;13044812.3654419;2007;US;price
Food;lvst;64467721.2603973;2007;US;price
OtherUses;lvst;2401800.34617097;2007;US;price
Food;crop;96060574.3014541;2007;CN;mass
OtherUses;crop;20822790.5459627;2007;CN;mass
Food;lvst;51930221.2143846;2007;CN;mass
OtherUses;lvst;10487746.509543;2007;CN;mass
Food;crop;99070393.1733725;2007;CN;price
OtherUses;crop;27632547.744927;2007;CN;price
Food;lvst;40260846.4997518;2007;CN;price
OtherUses;lvst;11908861.7574223;2007;CN;price
Food;crop;44399841.219715;2008;EU;mass
OtherUses;crop;10154664.0969692;2008;EU;mass
Food;lvst;77434397.9811128;2008;EU;mass
OtherUses;lvst;8657389.2702795;2008;EU;mass
Food;crop;47246142.9772921;2008;EU;price
OtherUses;crop;12590249.2061268;2008;EU;price
Food;lvst;76018531.7238172;2008;EU;price
OtherUses;lvst;4582398.20042707;2008;EU;price
Food;crop;28069022.8054365;2008;US;mass
OtherUses;crop;13586403.5521425;2008;US;mass
Food;lvst;59068597.7114911;2008;US;mass
OtherUses;lvst;5441734.40068392;2008;US;mass
Food;crop;31831631.2328125;2008;US;price
OtherUses;crop;14504170.5748026;2008;US;price
Food;lvst;59806782.667151;2008;US;price
OtherUses;lvst;2625194.93239738;2008;US;price
Food;crop;96666067.0428589;2008;CN;mass
OtherUses;crop;21050567.2487749;2008;CN;mass
