To.Country;original;estimated;difference;difference_percentage
Indonesia;29201261.4751147;29163116.5963781;-38144.8787365332;-0.13062750309277
Iran (Islamic Republic of);18542993.6829752;19295297.7527392;752304.069764022;4.05707990104495
Iraq;10152205.2410288;9787580.39316745;-364624.847861337;-3.59158270744719
Ireland;9782675.47445415;9487803.13844872;-294872.336005429;-3.01422996986294
Israel;7020635.23061134;6531127.7622173;-489507.468394042;-6.97240993606524
Italy;44788868.9676774;47345609.9345854;2556740.96690808;5.70842940631789
Jamaica;1334988.30019115;1425803.04725989;90814.7470687446;6.80266239454995
Japan;63579563.1120858;67198314.186683;3618751.07459725;5.6916891174884
Jordan;4381583.00894193;4360432.32088391;-21150.6880580187;-0.482717958665953
Kazakhstan;4275189.85227142;4706714.00964874;431524.157377322;10.0936840769318
Kenya;3132828.74995018;3148495.12125321;15666.3713030308;0.500071103576278
Kiribati;639852.603720272;43443.1210041781;-596409.482716094;-93.2104486640223
Kuwait;4251926.42842437;4000927.38003919;-250999.048385177;-5.90318418275618
Kyrgyzstan;999285.937241434;1037718.71185529;38432.7746138531;3.84602376372354
Lao People's Democratic Republic;436252.471194902;256229.364221418;-180023.106973484;-41.2658079575797
Latvia;3107846.86670523;3138175.56881613;30328.7021109005;0.975875048279113
Lebanon;2890243.21832687;3027521.63909937;137278.420772508;4.7497186362045
Lesotho;579301.03244943;513457.505152353;-65843.5272970769;-11.3660296821281
Liberia;543232.994451617;488679.120259548;-54553.8741920692;-10.0424449084026
Libya;6085599.63703958;6001223.63703958;-84375.9999999991;-1.38648621388845
Lithuania;3860105.53032023;3829422.1690364;-30683.3612838294;-0.794884001041391
Luxembourg;1706139.88130289;2471203.0352532;765063.15395031;44.8417601824107
Madagascar;906075.483231913;953970.937328918;47895.4540970046;5.28603355717833
Malawi;413109.967422917;425878.173079801;12768.2056568844;3.0907522605992
Malaysia;20523204.020903;20815383.8584492;292179.837546229;1.42365605900834
Maldives;231977.667410594;256372.121269961;24394.4538593671;10.5158630706419
Mali;713580.099046097;860631.904396112;147051.805350016;20.6076102103453
